PERMNO,DATE,COMNAM,SICCD,RET,year,month,day,count
14593,07/03/2017,APPLE INC,3571,-0.003610639134422,2017,7,3,378
14593,07/05/2017,APPLE INC,3571,0.004111472517252,2017,7,5,379
14593,07/06/2017,APPLE INC,3571,-0.009438550099731,2017,7,6,380
14593,07/07/2017,APPLE INC,3571,0.010159020312131,2017,7,7,381
14593,07/10/2017,APPLE INC,3571,0.006103516090661,2017,7,10,382
14593,07/11/2017,APPLE INC,3571,0.0032400470227,2017,7,11,383
14593,07/12/2017,APPLE INC,3571,0.001443047542125,2017,7,12,384
14593,07/13/2017,APPLE INC,3571,0.013928906060755,2017,7,13,385
14593,07/14/2017,APPLE INC,3571,0.008594362996519,2017,7,14,386
14593,07/17/2017,APPLE INC,3571,0.003489025169984,2017,7,17,387
14593,07/18/2017,APPLE INC,3571,0.003476893994957,2017,7,18,388
14593,07/19/2017,APPLE INC,3571,0.006263342220336,2017,7,19,389
14593,07/20/2017,APPLE INC,3571,-0.004502767231315,2017,7,20,390
14593,07/21/2017,APPLE INC,3571,-0.000465558521682,2017,7,21,391
14593,07/24/2017,APPLE INC,3571,0.01211147941649,2017,7,24,392
14593,07/25/2017,APPLE INC,3571,0.004273845348507,2017,7,25,393
14593,07/26/2017,APPLE INC,3571,0.004713900852948,2017,7,26,394
14593,07/27/2017,APPLE INC,3571,-0.01889749057591,2017,7,27,395
14593,07/28/2017,APPLE INC,3571,-0.007040366530418,2017,7,28,396
14593,07/31/2017,APPLE INC,3571,-0.005150530021638,2017,7,31,397
14593,08/01/2017,APPLE INC,3571,0.008875192143023,2017,8,1,398
14593,08/02/2017,APPLE INC,3571,0.047250889241696,2017,8,2,399
14593,08/03/2017,APPLE INC,3571,-0.009991040453315,2017,8,3,400
14593,08/04/2017,APPLE INC,3571,0.005270888097584,2017,8,4,401
14593,08/07/2017,APPLE INC,3571,0.015474123880267,2017,8,7,402
14593,08/08/2017,APPLE INC,3571,0.007997004315257,2017,8,8,403
14593,08/09/2017,APPLE INC,3571,0.006121912039816,2017,8,9,404
14593,08/10/2017,APPLE INC,3571,-0.031727246940136,2017,8,10,405
14593,08/11/2017,APPLE INC,3571,0.013906697742641,2017,8,11,406
14593,08/14/2017,APPLE INC,3571,0.015049596317113,2017,8,14,407
14593,08/15/2017,APPLE INC,3571,0.010947762988508,2017,8,15,408
14593,08/16/2017,APPLE INC,3571,-0.00402233377099,2017,8,16,409
14593,08/17/2017,APPLE INC,3571,-0.019198486581445,2017,8,17,410
14593,08/18/2017,APPLE INC,3571,-0.002280505606905,2017,8,18,411
14593,08/21/2017,APPLE INC,3571,-0.001841227174737,2017,8,21,412
14593,08/22/2017,APPLE INC,3571,0.016347508877516,2017,8,22,413
14593,08/23/2017,APPLE INC,3571,0.001251702080481,2017,8,23,414
14593,08/24/2017,APPLE INC,3571,-0.004438001662493,2017,8,24,415
14593,08/25/2017,APPLE INC,3571,0.003704378148541,2017,8,25,416
14593,08/28/2017,APPLE INC,3571,0.010071315802634,2017,8,28,417
14593,08/29/2017,APPLE INC,3571,0.008918080478907,2017,8,29,418
14593,08/30/2017,APPLE INC,3571,0.002700892742723,2017,8,30,419
14593,08/31/2017,APPLE INC,3571,0.003979148343205,2017,8,31,420
14593,09/01/2017,APPLE INC,3571,0.000304896646412,2017,9,1,421
14593,09/05/2017,APPLE INC,3571,-0.01200854126364,2017,9,5,422
14593,09/06/2017,APPLE INC,3571,-0.001048853504471,2017,9,6,423
14593,09/07/2017,APPLE INC,3571,-0.004014632664621,2017,9,7,424
14593,09/08/2017,APPLE INC,3571,-0.016309002414346,2017,9,8,425
14593,09/11/2017,APPLE INC,3571,0.018092384561896,2017,9,11,426
14593,09/12/2017,APPLE INC,3571,-0.003962844610214,2017,9,12,427
14593,09/13/2017,APPLE INC,3571,-0.007522110361606,2017,9,13,428
14593,09/14/2017,APPLE INC,3571,-0.008581241592765,2017,9,14,429
14593,09/15/2017,APPLE INC,3571,0.01010870654136,2017,9,15,430
14593,09/18/2017,APPLE INC,3571,-0.007568217813969,2017,9,18,431
14593,09/19/2017,APPLE INC,3571,0.000378127937438,2017,9,19,432
14593,09/20/2017,APPLE INC,3571,-0.016757944598794,2017,9,20,433
14593,09/21/2017,APPLE INC,3571,-0.017171831801534,2017,9,21,434
14593,09/22/2017,APPLE INC,3571,-0.009778995066881,2017,9,22,435
14593,09/25/2017,APPLE INC,3571,-0.008822149597108,2017,9,25,436
14593,09/26/2017,APPLE INC,3571,0.017203561961651,2017,9,26,437
14593,09/27/2017,APPLE INC,3571,0.007117646280676,2017,9,27,438
14593,09/28/2017,APPLE INC,3571,-0.006159611977637,2017,9,28,439
14593,09/29/2017,APPLE INC,3571,0.005480143241584,2017,9,29,440
14593,10/02/2017,APPLE INC,3571,-0.00201140390709,2017,10,2,441
14593,10/03/2017,APPLE INC,3571,0.004356011748314,2017,10,3,442
14593,10/04/2017,APPLE INC,3571,-0.006473329849541,2017,10,4,443
14593,10/05/2017,APPLE INC,3571,0.012444642372429,2017,10,5,444
